recharge_id,user_id,recharge_date,city,recharge_type,plan_type,payment_mode,recharge_amount
JIOREC005221,USER11993,2023-04-08,Delhi,Prepaid,Quarterly,Credit Card,892
JIOREC005222,USER54992,2022-03-28,Hyderabad,Prepaid,Roaming Pack,UPI,797
JIOREC005223,USER42818,2022-07-26,Delhi,Prepaid,Data Add-on,Wallet,19
JIOREC005224,USER75773,2024-05-18,Bangalore,Postpaid,Data Add-on,Wallet,20
JIOREC005225,USER76917,2022-12-31,Mumbai,Prepaid,Monthly,Net Banking,299
JIOREC005226,USER79177,2023-07-22,Ahmedabad,Postpaid,Annual,Credit Card,3157
JIOREC005227,USER67719,2022-09-19,Delhi,Prepaid,Quarterly,Credit Card,670
JIOREC005228,USER81636,2022-07-13,Chennai,Postpaid,Roaming Pack,Credit Card,501
JIOREC005229,USER58950,2022-01-27,Pune,Prepaid,Data Add-on,Credit Card,19
JIOREC005230,USER65966,2022-02-28,Hyderabad,Prepaid,Quarterly,Net Banking,718
JIOREC005231,USER70080,2023-07-17,Lucknow,Postpaid,Data Add-on,Retail Store,127
JIOREC005232,USER84744,2024-03-13,Lucknow,Prepaid,Quarterly,UPI,932
JIOREC005233,USER99584,2023-10-21,Jaipur,Postpaid,Data Add-on,Credit Card,19
JIOREC005234,USER48607,2022-09-30,Bangalore,Prepaid,Annual,Credit Card,2527
JIOREC005235,USER73371,2022-07-20,Kolkata,Postpaid,Data Add-on,Wallet,29
JIOREC005236,USER57490,2022-12-06,Jaipur,Prepaid,Quarterly,Debit Card,719
JIOREC005237,USER24139,2024-06-19,Ahmedabad,Postpaid,Quarterly,UPI,793
JIOREC005238,USER37287,2022-11-25,Delhi,Prepaid,Roaming Pack,UPI,597
JIOREC005239,USER42819,2023-08-04,Bangalore,Prepaid,Monthly,UPI,251
JIOREC005240,USER78764,2024-03-10,Pune,Postpaid,Roaming Pack,Debit Card,658
JIOREC005241,USER96928,2022-06-06,Ahmedabad,Prepaid,Monthly,UPI,400
JIOREC005242,USER78813,2023-10-01,Delhi,Prepaid,Quarterly,Wallet,887
JIOREC005243,USER37764,2022-11-04,Hyderabad,Postpaid,Monthly,UPI,401
JIOREC005244,USER96538,2023-05-01,Hyderabad,Prepaid,Monthly,Wallet,504
JIOREC005245,USER31244,2023-05-20,Chennai,Prepaid,Annual,Credit Card,3011
JIOREC005246,USER36771,2024-06-28,Jaipur,Postpaid,Monthly,Credit Card,219
JIOREC005247,USER86002,2022-02-03,Ahmedabad,Prepaid,Roaming Pack,Wallet,799
JIOREC005248,USER99781,2023-03-11,Kolkata,Postpaid,Monthly,Credit Card,503
JIOREC005249,USER78578,2023-06-17,Hyderabad,Postpaid,Monthly,UPI,503
JIOREC005250,USER76785,2022-04-22,Kolkata,Postpaid,Data Add-on,UPI,18
JIOREC005251,USER61963,2023-11-07,Delhi,Postpaid,Data Add-on,UPI,64
JIOREC005252,USER36671,2024-05-13,Ahmedabad,Postpaid,Monthly,UPI,219
JIOREC005253,USER22067,2023-10-16,Ahmedabad,Prepaid,Roaming Pack,UPI,521
JIOREC005254,USER53258,2022-12-15,Ahmedabad,Prepaid,Annual,UPI,2999
JIOREC005255,USER35955,2023-06-29,Mumbai,Postpaid,Data Add-on,UPI,19
JIOREC005256,USER18998,2024-06-25,Mumbai,Postpaid,Monthly,Debit Card,262
JIOREC005257,USER59661,2024-01-02,Pune,Postpaid,Monthly,Wallet,438
JIOREC005258,USER21243,2023-09-03,Ahmedabad,Postpaid,Data Add-on,UPI,127
JIOREC005259,USER56661,2023-05-29,Kolkata,Postpaid,Monthly,Credit Card,501
JIOREC005260,USER21803,2022-10-06,Hyderabad,Postpaid,Annual,UPI,2873
JIOREC005261,USER88176,2023-03-11,Pune,Postpaid,Monthly,Credit Card,418
JIOREC005262,USER58972,2024-02-21,Bangalore,Prepaid,Annual,UPI,3300
JIOREC005263,USER64533,2023-02-02,Lucknow,Prepaid,Annual,UPI,3024
JIOREC005264,USER47379,2022-02-26,Delhi,Postpaid,Monthly,Retail Store,398
JIOREC005265,USER86605,2022-04-24,Hyderabad,Prepaid,Data Add-on,UPI,19
JIOREC005266,USER10197,2023-01-28,Delhi,Postpaid,Roaming Pack,UPI,523
JIOREC005267,USER41819,2023-04-22,Pune,Postpaid,Annual,UPI,2671
JIOREC005268,USER40057,2023-03-03,Chennai,Postpaid,Quarterly,UPI,890
JIOREC005269,USER97486,2022-07-29,Hyderabad,Postpaid,Roaming Pack,Credit Card,800
JIOREC005270,USER87434,2024-03-09,Ahmedabad,Postpaid,Roaming Pack,Debit Card,658
JIOREC005271,USER88332,2023-11-19,Hyderabad,Prepaid,Annual,Retail Store,3132
JIOREC005272,USER93845,2023-07-04,Kolkata,Prepaid,Quarterly,Debit Card,887
JIOREC005273,USER22210,2024-01-31,Mumbai,Prepaid,Monthly,UPI,328
JIOREC005274,USER82269,2023-04-25,Hyderabad,Prepaid,Monthly,Credit Card,502
JIOREC005275,USER37545,2022-08-18,Kolkata,Prepaid,Annual,UPI,3007
JIOREC005276,USER63641,2023-11-17,Hyderabad,Postpaid,Monthly,Retail Store,315
JIOREC005277,USER11274,2023-09-22,Kolkata,Prepaid,Data Add-on,UPI,126
JIOREC005278,USER48492,2023-03-23,Ahmedabad,Prepaid,Annual,Debit Card,3147
JIOREC005279,USER38891,2023-04-29,Jaipur,Postpaid,Annual,UPI,3155
JIOREC005280,USER65477,2022-03-21,Kolkata,Postpaid,Annual,UPI,2883
JIOREC005281,USER35728,2022-10-19,Ahmedabad,Postpaid,Quarterly,UPI,667
JIOREC005282,USER22588,2024-01-09,Ahmedabad,Prepaid,Monthly,Debit Card,262
JIOREC005283,USER14737,2023-04-09,Mumbai,Prepaid,Annual,Credit Card,2663
JIOREC005284,USER48051,2023-08-28,Delhi,Postpaid,Roaming Pack,Net Banking,834
JIOREC005285,USER95543,2024-05-14,Mumbai,Prepaid,Quarterly,UPI,792
JIOREC005286,USER22366,2023-04-17,Hyderabad,Postpaid,Data Add-on,UPI,64
JIOREC005287,USER48304,2023-02-28,Delhi,Postpaid,Data Add-on,Wallet,19
JIOREC005288,USER55131,2022-08-20,Jaipur,Prepaid,Monthly,UPI,481
JIOREC005289,USER39607,2022-08-06,Ahmedabad,Postpaid,Roaming Pack,UPI,599
JIOREC005290,USER35942,2023-09-16,Lucknow,Postpaid,Monthly,UPI,208
JIOREC005291,USER67777,2022-04-15,Delhi,Postpaid,Roaming Pack,UPI,798
JIOREC005292,USER64383,2024-03-06,Delhi,Prepaid,Quarterly,Net Banking,734
JIOREC005293,USER91971,2023-07-23,Mumbai,Prepaid,Annual,Retail Store,2675
JIOREC005294,USER44641,2023-04-04,Lucknow,Prepaid,Roaming Pack,Retail Store,837
JIOREC005295,USER11897,2023-01-13,Mumbai,Postpaid,Monthly,UPI,313
JIOREC005296,USER98262,2022-05-10,Mumbai,Prepaid,Data Add-on,Debit Card,121
JIOREC005297,USER22559,2024-04-10,Mumbai,Prepaid,Roaming Pack,UPI,547
JIOREC005298,USER82499,2022-12-08,Kolkata,Postpaid,Data Add-on,Credit Card,19
JIOREC005299,USER74933,2023-10-22,Jaipur,Prepaid,Annual,UPI,2674
JIOREC005300,USER14821,2022-01-21,Kolkata,Postpaid,Data Add-on,Net Banking,28
JIOREC005301,USER48155,2024-03-09,Jaipur,Prepaid,Quarterly,UPI,733
JIOREC005302,USER28137,2022-06-02,Pune,Prepaid,Annual,UPI,2989
JIOREC005303,USER50423,2023-01-28,Delhi,Prepaid,Annual,Credit Card,3020
JIOREC005304,USER80792,2023-04-12,Lucknow,Postpaid,Roaming Pack,Retail Store,629
JIOREC005305,USER26825,2022-08-01,Mumbai,Prepaid,Quarterly,UPI,669
JIOREC005306,USER81271,2023-04-28,Ahmedabad,Postpaid,Roaming Pack,Debit Card,630
JIOREC005307,USER88939,2022-03-01,Pune,Postpaid,Monthly,Credit Card,399
JIOREC005308,USER96049,2022-02-08,Delhi,Prepaid,Data Add-on,Credit Card,61
JIOREC005309,USER38436,2023-06-05,Kolkata,Prepaid,Roaming Pack,Debit Card,838
JIOREC005310,USER16177,2022-02-10,Hyderabad,Prepaid,Data Add-on,Debit Card,28
JIOREC005311,USER97287,2022-12-27,Hyderabad,Postpaid,Annual,UPI,2879
JIOREC005312,USER45509,2023-05-26,Lucknow,Postpaid,Quarterly,UPI,698
JIOREC005313,USER46300,2022-02-11,Jaipur,Prepaid,Quarterly,UPI,849
JIOREC005314,USER12791,2022-07-13,Delhi,Prepaid,Monthly,UPI,481
JIOREC005315,USER50132,2022-10-21,Ahmedabad,Prepaid,Roaming Pack,UPI,802
JIOREC005316,USER30363,2022-10-31,Lucknow,Postpaid,Data Add-on,Debit Card,60
JIOREC005317,USER46011,2022-10-21,Pune,Postpaid,Monthly,Credit Card,475
JIOREC005318,USER90041,2023-12-11,Jaipur,Prepaid,Monthly,UPI,418
JIOREC005319,USER45164,2022-07-04,Bangalore,Postpaid,Monthly,Net Banking,297
JIOREC005320,USER14142,2024-06-28,Lucknow,Postpaid,Annual,UPI,3156
JIOREC005321,USER21519,2023-03-11,Mumbai,Postpaid,Roaming Pack,Debit Card,524
JIOREC005322,USER92555,2023-01-03,Kolkata,Postpaid,Data Add-on,Net Banking,126
JIOREC005323,USER92766,2022-07-21,Mumbai,Prepaid,Roaming Pack,UPI,498
JIOREC005324,USER93575,2023-04-20,Bangalore,Prepaid,Monthly,UPI,501
JIOREC005325,USER64993,2023-07-14,Hyderabad,Postpaid,Data Add-on,Debit Card,30
JIOREC005326,USER65865,2023-06-04,Hyderabad,Postpaid,Data Add-on,UPI,19
JIOREC005327,USER68308,2023-11-17,Mumbai,Postpaid,Annual,UPI,3000
JIOREC005328,USER76363,2023-02-10,Pune,Prepaid,Annual,Debit Card,2672
JIOREC005329,USER10227,2024-02-17,Lucknow,Postpaid,Roaming Pack,Debit Card,549
JIOREC005330,USER56333,2022-11-28,Kolkata,Prepaid,Annual,Net Banking,2530
JIOREC005331,USER61888,2023-04-24,Delhi,Postpaid,Monthly,Debit Card,504
JIOREC005332,USER78846,2022-11-29,Pune,Prepaid,Monthly,UPI,198
JIOREC005333,USER31950,2023-02-24,Mumbai,Prepaid,Roaming Pack,UPI,523
JIOREC005334,USER67055,2022-06-10,Hyderabad,Postpaid,Monthly,UPI,476
JIOREC005335,USER85054,2022-11-03,Pune,Prepaid,Annual,Debit Card,2882
JIOREC005336,USER84683,2022-06-13,Delhi,Postpaid,Roaming Pack,UPI,599
JIOREC005337,USER95369,2024-04-19,Jaipur,Postpaid,Roaming Pack,UPI,548
JIOREC005338,USER77637,2023-08-16,Pune,Postpaid,Roaming Pack,Credit Card,844
JIOREC005339,USER57174,2023-06-26,Chennai,Prepaid,Monthly,Credit Card,251
JIOREC005340,USER24117,2024-05-25,Lucknow,Postpaid,Roaming Pack,Debit Card,550
JIOREC005341,USER44362,2023-05-05,Ahmedabad,Postpaid,Quarterly,Credit Card,701
JIOREC005342,USER31810,2022-03-17,Jaipur,Prepaid,Quarterly,Net Banking,720
JIOREC005343,USER47530,2023-05-17,Chennai,Prepaid,Roaming Pack,Debit Card,840
JIOREC005344,USER93353,2023-12-10,Jaipur,Postpaid,Monthly,UPI,502
JIOREC005345,USER84949,2024-01-15,Jaipur,Postpaid,Annual,UPI,3297
JIOREC005346,USER53778,2023-12-27,Jaipur,Prepaid,Quarterly,Retail Store,754
JIOREC005347,USER36469,2023-08-22,Delhi,Prepaid,Quarterly,Wallet,700
JIOREC005348,USER11913,2023-05-05,Ahmedabad,Postpaid,Monthly,Credit Card,417
JIOREC005349,USER72933,2023-11-03,Chennai,Prepaid,Roaming Pack,Wallet,625
JIOREC005350,USER93790,2022-04-11,Kolkata,Prepaid,Roaming Pack,Credit Card,498
JIOREC005351,USER62287,2023-05-27,Chennai,Postpaid,Data Add-on,UPI,64
JIOREC005352,USER84303,2023-08-15,Chennai,Prepaid,Roaming Pack,UPI,525
JIOREC005353,USER95202,2022-05-16,Pune,Prepaid,Monthly,Net Banking,300
JIOREC005354,USER15938,2023-11-19,Jaipur,Prepaid,Monthly,Credit Card,208
JIOREC005355,USER29235,2023-06-19,Chennai,Postpaid,Roaming Pack,Credit Card,626
JIOREC005356,USER22767,2022-03-02,Bangalore,Prepaid,Data Add-on,UPI,61
JIOREC005357,USER88142,2024-02-22,Delhi,Prepaid,Quarterly,Wallet,732
JIOREC005358,USER31561,2022-12-23,Mumbai,Prepaid,Data Add-on,Net Banking,121
JIOREC005359,USER15180,2022-12-01,Lucknow,Prepaid,Roaming Pack,Debit Card,499
JIOREC005360,USER38055,2023-07-31,Jaipur,Prepaid,Data Add-on,Credit Card,63
JIOREC005361,USER50333,2022-02-24,Mumbai,Prepaid,Annual,Credit Card,2877
JIOREC005362,USER27260,2023-10-15,Kolkata,Postpaid,Annual,Wallet,2662
JIOREC005363,USER32169,2023-10-27,Hyderabad,Prepaid,Annual,UPI,2660
JIOREC005364,USER98289,2022-01-28,Pune,Prepaid,Monthly,UPI,239
JIOREC005365,USER31826,2022-04-27,Hyderabad,Prepaid,Monthly,Wallet,479
JIOREC005366,USER26074,2023-07-14,Delhi,Prepaid,Monthly,Wallet,314
JIOREC005367,USER89865,2023-02-27,Pune,Prepaid,Monthly,UPI,502
JIOREC005368,USER47056,2022-01-30,Ahmedabad,Postpaid,Monthly,UPI,399
JIOREC005369,USER16098,2023-03-20,Lucknow,Postpaid,Data Add-on,Retail Store,64
JIOREC005370,USER21575,2022-12-14,Ahmedabad,Postpaid,Roaming Pack,Credit Card,499
JIOREC005371,USER83487,2023-07-09,Delhi,Postpaid,Roaming Pack,Credit Card,837
JIOREC005372,USER88521,2023-11-18,Bangalore,Postpaid,Roaming Pack,Debit Card,633
JIOREC005373,USER86453,2022-05-27,Jaipur,Prepaid,Quarterly,Net Banking,850
JIOREC005374,USER54867,2023-08-22,Bangalore,Postpaid,Roaming Pack,UPI,842
JIOREC005375,USER86174,2023-08-25,Ahmedabad,Prepaid,Annual,Credit Card,3037
JIOREC005376,USER81811,2023-11-13,Mumbai,Postpaid,Data Add-on,UPI,125
JIOREC005377,USER46788,2024-01-24,Chennai,Prepaid,Data Add-on,Debit Card,133
JIOREC005378,USER99383,2023-03-08,Chennai,Postpaid,Monthly,UPI,419
JIOREC005379,USER78924,2022-02-25,Delhi,Postpaid,Annual,Debit Card,2878
JIOREC005380,USER15972,2022-06-30,Pune,Prepaid,Monthly,Credit Card,240
JIOREC005381,USER11187,2023-08-07,Jaipur,Postpaid,Monthly,UPI,209
JIOREC005382,USER46907,2022-08-13,Hyderabad,Postpaid,Annual,Net Banking,2551
JIOREC005383,USER70881,2023-07-15,Delhi,Prepaid,Monthly,UPI,420
JIOREC005384,USER28494,2023-08-10,Ahmedabad,Postpaid,Data Add-on,Wallet,19
JIOREC005385,USER99887,2024-03-16,Hyderabad,Prepaid,Monthly,UPI,439
JIOREC005386,USER43533,2022-07-05,Hyderabad,Postpaid,Quarterly,Net Banking,849
JIOREC005387,USER53643,2024-02-24,Mumbai,Postpaid,Annual,Debit Card,3297
JIOREC005388,USER98344,2023-02-26,Bangalore,Prepaid,Monthly,Wallet,419
JIOREC005389,USER51678,2022-07-05,Pune,Postpaid,Annual,Retail Store,2531
JIOREC005390,USER27103,2022-08-10,Jaipur,Prepaid,Quarterly,Wallet,848
JIOREC005391,USER89576,2022-09-20,Pune,Prepaid,Monthly,Retail Store,399
JIOREC005392,USER97416,2022-06-14,Hyderabad,Postpaid,Data Add-on,UPI,28
JIOREC005393,USER58292,2023-04-21,Mumbai,Prepaid,Data Add-on,Retail Store,64
JIOREC005394,USER43951,2022-10-31,Delhi,Prepaid,Quarterly,UPI,847
JIOREC005395,USER82852,2022-06-30,Bangalore,Postpaid,Monthly,Wallet,299
JIOREC005396,USER28337,2022-08-29,Ahmedabad,Prepaid,Roaming Pack,UPI,596
JIOREC005397,USER93509,2024-05-06,Ahmedabad,Postpaid,Data Add-on,Credit Card,132
JIOREC005398,USER16176,2022-05-21,Bangalore,Prepaid,Data Add-on,Credit Card,19
JIOREC005399,USER73419,2024-04-22,Pune,Postpaid,Data Add-on,Credit Card,31
JIOREC005400,USER22560,2022-10-02,Pune,Postpaid,Roaming Pack,Retail Store,803
JIOREC005401,USER33791,2023-01-05,Jaipur,Prepaid,Monthly,UPI,250
JIOREC005402,USER40142,2023-01-15,Mumbai,Prepaid,Data Add-on,Credit Card,127
JIOREC005403,USER44677,2022-10-27,Lucknow,Prepaid,Data Add-on,Credit Card,19
JIOREC005404,USER36765,2023-02-22,Hyderabad,Postpaid,Monthly,Wallet,314
JIOREC005405,USER37552,2023-10-21,Pune,Postpaid,Data Add-on,Wallet,19
JIOREC005406,USER27982,2023-10-14,Jaipur,Prepaid,Roaming Pack,UPI,523
JIOREC005407,USER45162,2023-03-26,Kolkata,Prepaid,Annual,Net Banking,3018
JIOREC005408,USER36899,2022-03-13,Ahmedabad,Postpaid,Monthly,Debit Card,199
JIOREC005409,USER48505,2022-03-02,Delhi,Prepaid,Roaming Pack,Wallet,500
JIOREC005410,USER99129,2024-04-19,Jaipur,Postpaid,Quarterly,Credit Card,932
JIOREC005411,USER90992,2023-09-23,Bangalore,Prepaid,Roaming Pack,UPI,836
JIOREC005412,USER15560,2023-04-27,Pune,Postpaid,Data Add-on,Debit Card,30
JIOREC005413,USER39515,2023-02-13,Chennai,Prepaid,Annual,Retail Store,2669
JIOREC005414,USER55414,2023-10-04,Bangalore,Prepaid,Roaming Pack,UPI,633
JIOREC005415,USER79245,2023-05-11,Delhi,Postpaid,Annual,Net Banking,2671
JIOREC005416,USER11247,2023-01-13,Bangalore,Postpaid,Roaming Pack,UPI,628
JIOREC005417,USER73602,2023-07-12,Bangalore,Postpaid,Roaming Pack,Retail Store,632
JIOREC005418,USER63357,2022-10-17,Chennai,Prepaid,Monthly,Credit Card,475
JIOREC005419,USER69998,2024-01-03,Kolkata,Postpaid,Data Add-on,UPI,31
JIOREC005420,USER63724,2023-09-27,Hyderabad,Postpaid,Data Add-on,UPI,19
JIOREC005421,USER23899,2023-04-03,Kolkata,Prepaid,Data Add-on,Credit Card,63
JIOREC005422,USER66153,2024-06-28,Kolkata,Postpaid,Roaming Pack,Debit Card,875
JIOREC005423,USER20957,2022-09-15,Ahmedabad,Postpaid,Annual,UPI,2859
JIOREC005424,USER76647,2024-01-28,Pune,Prepaid,Quarterly,UPI,732
JIOREC005425,USER23956,2023-04-25,Bangalore,Postpaid,Annual,Net Banking,3143
JIOREC005426,USER60243,2023-11-07,Chennai,Prepaid,Data Add-on,UPI,63
JIOREC005427,USER36444,2022-12-17,Bangalore,Postpaid,Data Add-on,UPI,19
JIOREC005428,USER61116,2023-12-16,Kolkata,Postpaid,Quarterly,UPI,699
JIOREC005429,USER79813,2023-10-29,Kolkata,Prepaid,Roaming Pack,UPI,526
JIOREC005430,USER91194,2024-06-01,Kolkata,Postpaid,Annual,Credit Card,3159
JIOREC005431,USER66251,2024-04-29,Jaipur,Postpaid,Roaming Pack,Retail Store,658
JIOREC005432,USER94363,2024-02-20,Chennai,Postpaid,Quarterly,Debit Card,934
JIOREC005433,USER87830,2023-11-12,Jaipur,Prepaid,Annual,UPI,2661
JIOREC005434,USER74792,2024-05-30,Lucknow,Prepaid,Roaming Pack,UPI,549
JIOREC005435,USER32093,2022-07-19,Mumbai,Postpaid,Monthly,Net Banking,476
JIOREC005436,USER60974,2023-05-19,Jaipur,Prepaid,Quarterly,Debit Card,752
JIOREC005437,USER60923,2024-02-29,Chennai,Prepaid,Monthly,UPI,328
JIOREC005438,USER64356,2022-02-18,Ahmedabad,Prepaid,Data Add-on,Credit Card,120
JIOREC005439,USER87745,2023-01-13,Ahmedabad,Postpaid,Monthly,Debit Card,208
JIOREC005440,USER69840,2023-01-08,Delhi,Prepaid,Monthly,UPI,208
JIOREC005441,USER10928,2022-07-13,Hyderabad,Prepaid,Monthly,Credit Card,298
JIOREC005442,USER70765,2023-02-26,Bangalore,Postpaid,Roaming Pack,Credit Card,839
JIOREC005443,USER21219,2023-01-31,Bangalore,Prepaid,Roaming Pack,UPI,523
JIOREC005444,USER22326,2023-12-21,Pune,Postpaid,Roaming Pack,Retail Store,628
JIOREC005445,USER29938,2022-10-22,Bangalore,Postpaid,Monthly,Debit Card,198
JIOREC005446,USER39357,2023-03-29,Pune,Postpaid,Roaming Pack,Retail Store,629
JIOREC005447,USER30746,2024-06-18,Bangalore,Postpaid,Monthly,Credit Card,219
JIOREC005448,USER47582,2022-06-28,Delhi,Postpaid,Monthly,Credit Card,199
JIOREC005449,USER33103,2023-04-03,Bangalore,Postpaid,Monthly,Credit Card,313
JIOREC005450,USER29118,2022-06-25,Delhi,Prepaid,Annual,Credit Card,2555
JIOREC005451,USER40565,2022-03-27,Mumbai,Prepaid,Data Add-on,UPI,19
JIOREC005452,USER64467,2023-06-12,Kolkata,Prepaid,Data Add-on,Wallet,19
JIOREC005453,USER98424,2023-05-10,Chennai,Postpaid,Roaming Pack,Debit Card,523
JIOREC005454,USER17232,2024-03-12,Delhi,Prepaid,Data Add-on,Credit Card,66
JIOREC005455,USER12312,2022-04-04,Delhi,Prepaid,Quarterly,Credit Card,720
JIOREC005456,USER93952,2023-07-24,Ahmedabad,Postpaid,Roaming Pack,Wallet,630
JIOREC005457,USER86547,2022-01-22,Ahmedabad,Prepaid,Roaming Pack,UPI,498
JIOREC005458,USER74084,2022-02-15,Pune,Postpaid,Annual,UPI,2997
JIOREC005459,USER18274,2022-05-23,Kolkata,Postpaid,Data Add-on,Debit Card,19
JIOREC005460,USER29001,2022-08-21,Kolkata,Postpaid,Roaming Pack,Debit Card,802
JIOREC005461,USER19021,2023-10-06,Kolkata,Prepaid,Quarterly,UPI,758
JIOREC005462,USER52850,2022-03-13,Jaipur,Postpaid,Monthly,Debit Card,198
JIOREC005463,USER78985,2023-11-07,Mumbai,Postpaid,Quarterly,Debit Card,897
JIOREC005464,USER77241,2022-05-22,Mumbai,Postpaid,Roaming Pack,Credit Card,499
JIOREC005465,USER22222,2022-01-04,Delhi,Prepaid,Monthly,UPI,299
JIOREC005466,USER47069,2022-05-25,Lucknow,Prepaid,Quarterly,UPI,845
JIOREC005467,USER92043,2023-11-27,Pune,Prepaid,Quarterly,Debit Card,750
JIOREC005468,USER48571,2024-02-02,Bangalore,Prepaid,Monthly,Wallet,328
JIOREC005469,USER68262,2023-09-24,Mumbai,Postpaid,Annual,Debit Card,3011
JIOREC005470,USER51092,2022-06-17,Bangalore,Prepaid,Monthly,UPI,398
JIOREC005471,USER81121,2023-04-10,Jaipur,Prepaid,Monthly,Credit Card,250
JIOREC005472,USER43416,2024-06-15,Kolkata,Postpaid,Roaming Pack,Credit Card,882
JIOREC005473,USER34186,2023-12-28,Pune,Postpaid,Roaming Pack,Debit Card,838
JIOREC005474,USER75767,2022-06-18,Hyderabad,Prepaid,Roaming Pack,UPI,801
JIOREC005475,USER44311,2022-02-27,Jaipur,Prepaid,Annual,UPI,2544
JIOREC005476,USER87510,2024-01-19,Ahmedabad,Postpaid,Quarterly,Credit Card,934
JIOREC005477,USER92809,2022-12-26,Mumbai,Prepaid,Monthly,Retail Store,299
JIOREC005478,USER92794,2022-08-06,Delhi,Prepaid,Annual,Wallet,2992
JIOREC005479,USER92240,2022-10-20,Delhi,Prepaid,Data Add-on,UPI,18
JIOREC005480,USER19216,2024-03-23,Kolkata,Postpaid,Monthly,Credit Card,525
JIOREC005481,USER70229,2022-03-23,Jaipur,Prepaid,Roaming Pack,UPI,598
JIOREC005482,USER23583,2023-06-10,Pune,Prepaid,Annual,Debit Card,3158
JIOREC005483,USER18831,2022-07-30,Delhi,Postpaid,Quarterly,Credit Card,669
JIOREC005484,USER19974,2022-11-10,Delhi,Postpaid,Monthly,Debit Card,297
JIOREC005485,USER85682,2024-06-25,Delhi,Prepaid,Monthly,UPI,218
JIOREC005486,USER73493,2023-11-04,Lucknow,Prepaid,Data Add-on,UPI,127
JIOREC005487,USER61941,2024-05-11,Pune,Prepaid,Annual,Wallet,2810
JIOREC005488,USER26681,2023-07-06,Bangalore,Prepaid,Annual,UPI,2681
JIOREC005489,USER92891,2022-10-14,Kolkata,Postpaid,Monthly,UPI,200
JIOREC005490,USER32866,2022-07-07,Mumbai,Postpaid,Data Add-on,Net Banking,29
JIOREC005491,USER35263,2023-08-13,Mumbai,Prepaid,Quarterly,Debit Card,887
JIOREC005492,USER16425,2023-12-27,Mumbai,Postpaid,Data Add-on,UPI,127
JIOREC005493,USER84668,2022-04-16,Mumbai,Prepaid,Annual,Wallet,2996
JIOREC005494,USER76053,2022-10-12,Lucknow,Postpaid,Quarterly,Credit Card,844
JIOREC005495,USER97182,2023-05-16,Chennai,Prepaid,Annual,UPI,3033
JIOREC005496,USER89837,2023-10-11,Kolkata,Prepaid,Annual,Net Banking,3041
JIOREC005497,USER65316,2023-02-28,Chennai,Prepaid,Annual,Debit Card,3149
JIOREC005498,USER18146,2023-11-20,Lucknow,Prepaid,Quarterly,Credit Card,887
JIOREC005499,USER56165,2022-04-14,Mumbai,Postpaid,Data Add-on,Retail Store,29
JIOREC005500,USER26767,2023-09-16,Mumbai,Prepaid,Data Add-on,Credit Card,19
JIOREC005501,USER46868,2022-10-10,Delhi,Prepaid,Monthly,Net Banking,238
JIOREC005502,USER50537,2022-10-10,Bangalore,Prepaid,Annual,Debit Card,3005
JIOREC005503,USER66982,2023-01-12,Ahmedabad,Postpaid,Roaming Pack,Retail Store,523
JIOREC005504,USER56742,2022-04-07,Lucknow,Prepaid,Monthly,UPI,239
JIOREC005505,USER40456,2022-11-12,Hyderabad,Prepaid,Monthly,Wallet,396
JIOREC005506,USER95346,2023-09-03,Delhi,Prepaid,Roaming Pack,Credit Card,520
JIOREC005507,USER79975,2024-01-17,Hyderabad,Postpaid,Roaming Pack,Retail Store,659
JIOREC005508,USER87506,2022-06-27,Chennai,Postpaid,Annual,Credit Card,3000
JIOREC005509,USER50887,2023-02-25,Hyderabad,Postpaid,Roaming Pack,Wallet,629
JIOREC005510,USER10434,2024-03-17,Ahmedabad,Postpaid,Data Add-on,UPI,132
JIOREC005511,USER41940,2023-12-22,Mumbai,Postpaid,Quarterly,UPI,754
JIOREC005512,USER88122,2024-03-10,Kolkata,Postpaid,Data Add-on,Net Banking,20
JIOREC005513,USER51047,2023-07-18,Jaipur,Postpaid,Roaming Pack,UPI,522
JIOREC005514,USER19665,2022-02-12,Lucknow,Prepaid,Data Add-on,Debit Card,60
JIOREC005515,USER87495,2024-03-13,Chennai,Prepaid,Annual,UPI,3301
JIOREC005516,USER54205,2022-07-03,Jaipur,Postpaid,Data Add-on,Credit Card,121
JIOREC005517,USER29810,2022-12-14,Jaipur,Prepaid,Roaming Pack,UPI,599
JIOREC005518,USER26208,2024-01-03,Lucknow,Postpaid,Roaming Pack,UPI,878
JIOREC005519,USER99322,2024-02-12,Bangalore,Postpaid,Monthly,Credit Card,218
JIOREC005520,USER56228,2024-03-11,Delhi,Prepaid,Data Add-on,Credit Card,20
JIOREC005521,USER72031,2023-05-17,Lucknow,Postpaid,Annual,UPI,3141
JIOREC005522,USER79376,2022-12-08,Mumbai,Prepaid,Roaming Pack,Wallet,599
JIOREC005523,USER64811,2024-06-06,Bangalore,Prepaid,Roaming Pack,Wallet,550
JIOREC005524,USER44264,2022-01-28,Kolkata,Prepaid,Roaming Pack,Credit Card,598
JIOREC005525,USER14346,2024-06-30,Jaipur,Prepaid,Quarterly,Retail Store,731
JIOREC005526,USER82012,2023-11-22,Delhi,Postpaid,Roaming Pack,Retail Store,632
JIOREC005527,USER32259,2023-01-07,Kolkata,Postpaid,Monthly,Net Banking,503
JIOREC005528,USER51542,2023-04-11,Chennai,Prepaid,Quarterly,Credit Card,697
